,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
155,8,Anguissa,191,,45,0,Fulham,André-Frank,Zambo Anguissa,André-FrankZambo Anguissa,André-Frank_Zambo Anguissa_512,André-Frank_Zambo Anguissa_512,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Andr%C3%A9-Frank_Zambo%20Anguissa_512,2018-19,96
156,8,Sessegnon,192,,45,0,Fulham,Zeze Steven,Sessegnon,Zeze StevenSessegnon,Zeze Steven_Sessegnon_541,Zeze Steven_Sessegnon_541,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Zeze%20Steven_Sessegnon_541,2018-19,95
158,8,Lemina,493,,45,0,Fulham,Mario,Lemina,MarioLemina,Mario_Lemina_344,Mario_Lemina_344,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Mario_Lemina_344,2018-19,91
159,9,Morgan,216,75.0,45,430,Leicester,Wes,Morgan,WesMorgan,Wes_Morgan_215,Wes_Morgan_215,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Wes_Morgan_215,2018-19,89
160,9,Schmeichel,217,,55,3420,Leicester,Kasper,Schmeichel,KasperSchmeichel,Kasper_Schmeichel_213,Kasper_Schmeichel_213,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Kasper_Schmeichel_213,2018-19,94
161,9,Fuchs,218,0.0,45,770,Leicester,Christian,Fuchs,ChristianFuchs,Christian_Fuchs_216,Christian_Fuchs_216,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Christian_Fuchs_216,2018-19,93
162,9,Evans,219,0.0,55,3384,Leicester,Jonny,Evans,JonnyEvans,Jonny_Evans_222,Jonny_Evans_222,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jonny_Evans_222,2018-19,90
164,9,Albrighton,221,,55,857,Leicester,Marc,Albrighton,MarcAlbrighton,Marc_Albrighton_224,Marc_Albrighton_224,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Marc_Albrighton_224,2018-19,93
165,9,James,222,,45,5,Leicester,Matty,James,MattyJames,Matty_James_229,Matty_James_229,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Matty_James_229,2018-19,90
166,9,Ward,223,,45,0,Leicester,Danny,Ward,DannyWard,Danny_Ward_105,Danny_Ward_105,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Danny_Ward_105,2018-19,89
167,9,Vardy,224,,100,3032,Leicester,Jamie,Vardy,JamieVardy,Jamie_Vardy_234,Jamie_Vardy_234,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jamie_Vardy_234,2018-19,90
168,9,Pereira,226,0.0,60,2520,Leicester,Ricardo Domingos,Barbosa Pereira,Ricardo DomingosBarbosa Pereira,Ricardo Domingos_Barbosa Pereira_221,Ricardo Domingos_Barbosa Pereira_221,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Ricardo%20Domingos_Barbosa%20Pereira_221,2018-19,97
169,9,Amartey,227,0.0,40,0,Leicester,Daniel,Amartey,DanielAmartey,Daniel_Amartey_226,Daniel_Amartey_226,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Daniel_Amartey_226,2018-19,92
170,9,Tielemans,228,,65,2823,Leicester,Youri,Tielemans,YouriTielemans,Youri_Tielemans_591,Youri_Tielemans_591,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Youri_Tielemans_591,2018-19,93
171,9,Pérez,229,,65,1998,Leicester,Ayoze,Pérez,AyozePérez,Ayoze_Pérez_326,Ayoze_Pérez_326,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Ayoze_P%C3%A9rez_326,2018-19,90
172,9,Gray,230,,55,605,Leicester,Demarai,Gray,DemaraiGray,Demarai_Gray_225,Demarai_Gray_225,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Demarai_Gray_225,2018-19,91
173,9,Maddison,231,50.0,70,2624,Leicester,James,Maddison,JamesMaddison,James_Maddison_233,James_Maddison_233,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/James_Maddison_233,2018-19,92
174,9,Iheanacho,233,,60,953,Leicester,Kelechi,Iheanacho,KelechiIheanacho,Kelechi_Iheanacho_236,Kelechi_Iheanacho_236,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Kelechi_Iheanacho_236,2018-19,94
175,9,Choudhury,234,,50,883,Leicester,Hamza,Choudhury,HamzaChoudhury,Hamza_Choudhury_230,Hamza_Choudhury_230,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Hamza_Choudhury_230,2018-19,93
176,9,Barnes,235,,70,2075,Leicester,Harvey,Barnes,HarveyBarnes,Harvey_Barnes_571,Harvey_Barnes_571,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Harvey_Barnes_571,2018-19,92
