,home_team,away_team,home_odds,away_odds
184,West Ham,Manchester Utd,0.15772870662460567,0.6493506493506493
185,Everton,Southampton,0.42016806722689076,0.3048780487804878
186,Manchester City,Burnley,0.8403361344537815,0.060716454159077116
187,Sunderland,Liverpool,0.09842519685039369,0.7633587786259541
188,West Brom,Hull,0.5128205128205129,0.2173913043478261
189,Middlesbrough,Leicester,0.3663003663003663,0.3401360544217687
190,Arsenal,Crystal Palace,0.7352941176470588,0.11210762331838565
191,Watford,Spurs,0.1584786053882726,0.6369426751592356
192,Liverpool,Manchester City,0.4065040650406504,0.3333333333333333
193,Burnley,Sunderland,0.4347826086956522,0.3003003003003003
194,Chelsea,Stoke,0.8,0.07309941520467836
195,Leicester,West Ham,0.4716981132075471,0.2710027100271003
196,Manchester Utd,Middlesbrough,0.8,0.07012622720897616
197,Southampton,West Brom,0.591715976331361,0.16863406408094436
198,Swansea,Bournemouth,0.38167938931297707,0.3546099290780142
199,Hull,Everton,0.24937655860349128,0.4854368932038835
200,Southampton,Spurs,0.32894736842105265,0.3846153846153846
201,Liverpool,Stoke,0.7575757575757576,0.10070493454179255
202,Hull,Manchester City,0.10683760683760685,0.7299270072992701
203,Arsenal,West Brom,0.7462686567164178,0.09523809523809523
204,Burnley,Middlesbrough,0.3401360544217687,0.36496350364963503
205,Chelsea,Bournemouth,0.7299270072992701,0.10460251046025104
206,Leicester,Everton,0.37593984962406013,0.35335689045936397
207,Manchester Utd,Sunderland,0.8333333333333334,0.06265664160401002
208,Swansea,West Ham,0.4098360655737705,0.33003300330033003
209,Watford,Crystal Palace,0.4048582995951417,0.31746031746031744
210,Everton,Liverpool,0.25,0.4807692307692307
211,Manchester City,Arsenal,0.4444444444444444,0.3003003003003003
212,Spurs,Burnley,0.819672131147541,0.06702412868632708
213,Bournemouth,Southampton,0.3424657534246575,0.37735849056603776
214,West Brom,Manchester Utd,0.1694915254237288,0.5952380952380952
215,Middlesbrough,Swansea,0.47393364928909953,0.2544529262086514
216,Stoke,Leicester,0.36363636363636365,0.35587188612099646
217,Sunderland,Watford,0.38167938931297707,0.3424657534246575
218,West Ham,Hull,0.5847953216374269,0.18281535648994515
219,Crystal Palace,Chelsea,0.14792899408284024,0.6535947712418301
220,Crystal Palace,Manchester Utd,0.18348623853211007,0.5882352941176471
221,Manchester City,Watford,0.7874015748031495,0.08818342151675485
222,Stoke,Southampton,0.3076923076923077,0.41493775933609955
223,Spurs,Hull,0.8130081300813008,0.07052186177715092
224,West Brom,Swansea,0.49019607843137253,0.24570024570024568
225,Middlesbrough,Liverpool,0.1838235294117647,0.591715976331361
226,Sunderland,Chelsea,0.13550135501355015,0.6756756756756757
227,West Ham,Burnley,0.5952380952380952,0.1798561151079137
228,Bournemouth,Leicester,0.4385964912280702,0.3003003003003003
229,Everton,Arsenal,0.24038461538461536,0.5235602094240838
230,Liverpool,West Ham,0.7751937984496123,0.09643201542912247
231,Manchester Utd,Spurs,0.4629629629629629,0.2717391304347826
232,Southampton,Middlesbrough,0.6172839506172839,0.14577259475218657
233,Chelsea,West Brom,0.7874015748031495,0.07757951900698215
234,Leicester,Manchester City,0.20366598778004072,0.5813953488372093
235,Arsenal,Stoke,0.7633587786259541,0.09813542688910697
236,Burnley,Bournemouth,0.3021148036253776,0.4166666666666667
237,Hull,Crystal Palace,0.3058103975535168,0.42016806722689076
238,Swansea,Sunderland,0.4716981132075471,0.2747252747252747
239,Watford,Everton,0.3058103975535168,0.42194092827004215
240,Middlesbrough,Hull,0.5263157894736842,0.20746887966804978
241,Everton,Manchester Utd,0.2386634844868735,0.5076142131979695
242,Bournemouth,Liverpool,0.2008032128514056,0.5813953488372093
243,West Ham,Arsenal,0.17921146953405018,0.6172839506172839
244,Crystal Palace,Southampton,0.2724795640326976,0.4629629629629629
245,Stoke,Burnley,0.6211180124223602,0.1557632398753894
246,Sunderland,Leicester,0.29325513196480935,0.4464285714285714
247,Spurs,Swansea,0.7407407407407407,0.10822510822510822
248,West Brom,Watford,0.47619047619047616,0.2531645569620253
249,Manchester City,Chelsea,0.4629629629629629,0.27548209366391185
250,Manchester Utd,West Ham,0.7352941176470588,0.10989010989010989
251,Southampton,Everton,0.4672897196261682,0.26595744680851063
252,Arsenal,Bournemouth,0.7407407407407407,0.10570824524312895
253,Watford,Stoke,0.4385964912280702,0.28653295128939826
254,Chelsea,Spurs,0.5847953216374269,0.18248175182481752
255,Hull,West Brom,0.35211267605633806,0.35842293906810035
256,Leicester,Middlesbrough,0.5235602094240838,0.21691973969631234
257,Liverpool,Sunderland,0.8547008547008548,0.06253908692933083
258,Swansea,Crystal Palace,0.37593984962406013,0.35211267605633806
259,Burnley,Manchester City,0.08163265306122448,0.8
260,West Brom,Burnley,0.5235602094240838,0.21008403361344538
261,Middlesbrough,Chelsea,0.14124293785310735,0.6666666666666666
262,Spurs,West Ham,0.6451612903225806,0.15384615384615385
263,Crystal Palace,Manchester City,0.14534883720930233,0.684931506849315
264,Everton,Swansea,0.6369426751592356,0.1631321370309951
265,Southampton,Liverpool,0.31446540880503143,0.4273504273504274
266,Stoke,Bournemouth,0.46511627906976744,0.2770083102493075
267,Sunderland,Hull,0.4444444444444444,0.2824858757062147
268,Watford,Leicester,0.3389830508474576,0.3921568627450981
269,Manchester Utd,Arsenal,0.4048582995951417,0.3184713375796178
270,Leicester,West Brom,0.5780346820809249,0.17482517482517484
271,Swansea,Manchester Utd,0.18450184501845018,0.5882352941176471
272,Hull,Southampton,0.17605633802816903,0.5882352941176471
273,Liverpool,Watford,0.78125,0.08038585209003216
274,Arsenal,Spurs,0.5154639175257733,0.23529411764705882
275,Chelsea,Everton,0.6666666666666666,0.13755158184319122
276,Bournemouth,Sunderland,0.6211180124223602,0.17667844522968199
277,Burnley,Crystal Palace,0.28901734104046245,0.4347826086956522
278,Manchester City,Middlesbrough,0.8264462809917356,0.06574621959237344
279,West Ham,Stoke,0.49751243781094534,0.2506265664160401
280,Stoke,Swansea,0.48780487804878053,0.25641025641025644
281,Southampton,Chelsea,0.3164556962025316,0.41493775933609955
282,Everton,West Ham,0.53475935828877,0.2242152466367713
283,Crystal Palace,Liverpool,0.20242914979757085,0.5747126436781609
284,Manchester Utd,Burnley,0.8064516129032259,0.06341154090044389
285,Middlesbrough,Bournemouth,0.4,0.31347962382445144
286,Spurs,Leicester,0.6172839506172839,0.16977928692699493
287,Watford,Hull,0.5780346820809249,0.1838235294117647
288,West Brom,Manchester City,0.1310615989515072,0.684931506849315
289,Sunderland,Arsenal,0.12269938650306748,0.6944444444444444
290,Chelsea,Manchester Utd,0.45248868778280543,0.2680965147453083
291,Manchester City,Southampton,0.684931506849315,0.12391573729863692
292,Liverpool,West Brom,0.7751937984496123,0.08525149190110827
293,Arsenal,Middlesbrough,0.7936507936507936,0.07621951219512195
294,Burnley,Everton,0.1706484641638225,0.5952380952380952
295,Hull,Stoke,0.33003300330033003,0.3952569169960475
296,Leicester,Crystal Palace,0.5050505050505051,0.2320185614849188
297,Swansea,Watford,0.4081632653061224,0.3184713375796178
298,West Ham,Sunderland,0.5988023952095809,0.1801801801801802
299,Bournemouth,Spurs,0.2320185614849188,0.5235602094240838
300,Liverpool,Manchester Utd,0.4464285714285714,0.2824858757062147
301,Southampton,Burnley,0.7352941176470588,0.09689922480620154
302,Middlesbrough,Watford,0.4366812227074236,0.2857142857142857
303,Crystal Palace,West Ham,0.45248868778280543,0.28328611898017
304,Arsenal,Swansea,0.8064516129032259,0.07468259895444361
305,Bournemouth,Hull,0.5617977528089888,0.19880715705765406
306,Manchester City,Everton,0.6666666666666666,0.151285930408472
307,Stoke,Sunderland,0.5235602094240838,0.22624434389140272
308,West Brom,Spurs,0.1838235294117647,0.5847953216374269
309,Chelsea,Leicester,0.641025641025641,0.15384615384615385
310,Burnley,Arsenal,0.10604453870625663,0.7352941176470588
311,Leicester,Southampton,0.4,0.33003300330033003
312,Spurs,Manchester City,0.32894736842105265,0.4115226337448559
313,Manchester Utd,Stoke,0.7692307692307692,0.08726003490401396
314,Hull,Chelsea,0.13020833333333334,0.6896551724137931
315,Sunderland,West Brom,0.4,0.3164556962025316
316,Watford,Bournemouth,0.4048582995951417,0.3225806451612903
317,West Ham,Middlesbrough,0.48780487804878053,0.2531645569620253
318,Swansea,Liverpool,0.13386880856760375,0.6993006993006994
319,Everton,Crystal Palace,0.5813953488372093,0.19305019305019305
320,Burnley,Watford,0.30303030303030304,0.4132231404958678
321,West Ham,Southampton,0.33003300330033003,0.40322580645161293
322,Arsenal,Chelsea,0.4132231404958678,0.32573289902280134
323,Bournemouth,Everton,0.29411764705882354,0.4464285714285714
324,Liverpool,Hull,0.8,0.07722007722007722
325,Middlesbrough,Spurs,0.25252525252525254,0.4854368932038835
326,Stoke,West Brom,0.4347826086956522,0.2949852507374631
327,Sunderland,Crystal Palace,0.38759689922480617,0.33783783783783783
328,Swansea,Manchester City,0.11001100110011001,0.7462686567164178
329,Manchester Utd,Leicester,0.591715976331361,0.1798561151079137
330,Spurs,Sunderland,0.7518796992481203,0.09523809523809523
331,Crystal Palace,Stoke,0.47846889952153115,0.25839793281653745
332,Southampton,Swansea,0.5952380952380952,0.1763668430335097
333,Watford,Manchester Utd,0.15600624024961,0.6369426751592356
334,Everton,Middlesbrough,0.6097560975609756,0.16155088852988692
335,Hull,Arsenal,0.1669449081803005,0.6172839506172839
336,Leicester,Burnley,0.6756756756756757,0.13123359580052493
337,Manchester City,Bournemouth,0.8,0.08084074373484236
338,West Brom,West Ham,0.3546099290780142,0.36496350364963503
339,Chelsea,Liverpool,0.45454545454545453,0.28735632183908044
340,Sunderland,Everton,0.2710027100271003,0.4629629629629629
341,Swansea,Chelsea,0.15673981191222572,0.6329113924050632
342,Liverpool,Leicester,0.5952380952380952,0.1811594202898551
343,Arsenal,Southampton,0.6211180124223602,0.16181229773462785
344,Bournemouth,West Brom,0.47393364928909953,0.24509803921568626
345,Burnley,Hull,0.390625,0.3215434083601286
346,Middlesbrough,Crystal Palace,0.4166666666666667,0.3021148036253776
347,Stoke,Spurs,0.23584905660377356,0.5208333333333334
348,West Ham,Watford,0.5319148936170213,0.22271714922048996
349,Manchester Utd,Manchester City,0.4166666666666667,0.28901734104046245
350,Manchester City,West Ham,0.7874015748031495,0.08389261744966443
351,West Brom,Middlesbrough,0.3861003861003861,0.3205128205128205
352,Hull,Manchester Utd,0.1152073732718894,0.6944444444444444
353,Chelsea,Burnley,0.8,0.0691085003455425
354,Crystal Palace,Bournemouth,0.4484304932735426,0.28169014084507044
355,Everton,Stoke,0.5988023952095809,0.18726591760299627
356,Leicester,Swansea,0.5952380952380952,0.1798561151079137
357,Southampton,Sunderland,0.6756756756756757,0.13550135501355015
358,Watford,Arsenal,0.1718213058419244,0.6097560975609756
359,Spurs,Liverpool,0.3846153846153846,0.3496503496503497
360,West Ham,Bournemouth,0.41493775933609955,0.3125
361,Sunderland,Middlesbrough,0.36363636363636365,0.3401360544217687
362,Leicester,Arsenal,0.35842293906810035,0.38759689922480617
363,Burnley,Liverpool,0.14285714285714285,0.6578947368421053
364,Swansea,Hull,0.5434782608695652,0.20242914979757085
365,Spurs,Crystal Palace,0.6896551724137931,0.12658227848101264
366,Watford,Chelsea,0.16666666666666666,0.6024096385542169
367,West Brom,Everton,0.3333333333333333,0.3846153846153846
368,Stoke,Manchester City,0.16,0.6369426751592356
369,Manchester Utd,Southampton,0.6578947368421053,0.13850415512465375
370,Chelsea,West Ham,0.6578947368421053,0.14326647564469913
371,Arsenal,Liverpool,0.3663003663003663,0.3676470588235294
372,Bournemouth,Manchester Utd,0.18518518518518517,0.5681818181818182
373,Manchester City,Sunderland,0.8064516129032259,0.07220216606498195
374,Burnley,Swansea,0.36496350364963503,0.35211267605633806
375,Crystal Palace,West Brom,0.4608294930875576,0.25641025641025644
376,Everton,Spurs,0.28169014084507044,0.45454545454545453
377,Middlesbrough,Stoke,0.4444444444444444,0.2785515320334262
378,Southampton,Watford,0.5586592178770949,0.2040816326530612
379,Hull,Leicester,0.21645021645021645,0.5263157894736842
